intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-06-01T16:00:00Z,2021-06-01T17:00:00Z,2021-06-01,10,IRONMTN_2_N001,LMP,35.17542,16:00:00,17
2021-06-01T12:00:00Z,2021-06-01T13:00:00Z,2021-06-01,6,IRONMTN_2_N001,LMP,41.23315,12:00:00,13
2021-06-01T22:00:00Z,2021-06-01T23:00:00Z,2021-06-01,16,IRONMTN_2_N001,LMP,50.06486,22:00:00,23
2021-06-01T07:00:00Z,2021-06-01T08:00:00Z,2021-06-01,1,IRONMTN_2_N001,LMP,42.7313,07:00:00,8
2021-06-01T09:00:00Z,2021-06-01T10:00:00Z,2021-06-01,3,IRONMTN_2_N001,LMP,38.11699,09:00:00,10
2021-06-01T10:00:00Z,2021-06-01T11:00:00Z,2021-06-01,4,IRONMTN_2_N001,LMP,37.85608,10:00:00,11
2021-06-02T03:00:00Z,2021-06-02T04:00:00Z,2021-06-01,21,IRONMTN_2_N001,LMP,123.73511,03:00:00,4
2021-06-02T06:00:00Z,2021-06-02T07:00:00Z,2021-06-01,24,IRONMTN_2_N001,LMP,46.02691,06:00:00,7
2021-06-01T15:00:00Z,2021-06-01T16:00:00Z,2021-06-01,9,IRONMTN_2_N001,LMP,36.23178,15:00:00,16
2021-06-01T17:00:00Z,2021-06-01T18:00:00Z,2021-06-01,11,IRONMTN_2_N001,LMP,34.76467,17:00:00,18
2021-06-01T18:00:00Z,2021-06-01T19:00:00Z,2021-06-01,12,IRONMTN_2_N001,LMP,33.35439,18:00:00,19
2021-06-02T05:00:00Z,2021-06-02T06:00:00Z,2021-06-01,23,IRONMTN_2_N001,LMP,37.26197,05:00:00,6
2021-06-01T23:00:00Z,2021-06-02T00:00:00Z,2021-06-01,17,IRONMTN_2_N001,LMP,50.90204,23:00:00,24
2021-06-02T01:00:00Z,2021-06-02T02:00:00Z,2021-06-01,19,IRONMTN_2_N001,LMP,107.80382,01:00:00,2
